------ RECORDING METADATA ------
Recording duration: 4000 ms
Sample rate: 50 Hz

Sensor configuration:
- IMU: LSM6DS3 (Accelerometer + Gyroscope)
- Accelerometer range: ±2g
- Gyroscope range: 2000 dps
- Low-pass filter coefficient: 0.2

Sampling Considerations:
* Sample rate: 50-100Hz is typically sufficient for human gestures
* Duration: Balance between memory constraints and gesture complexity
* Filtering: Simple low-pass filter applied to reduce noise
------------------------------

RECORDING STARTED - 4 second window
timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000
80,0.1736,0.0000,0.9848,0.0000,25.0000,0.0000
160,0.3420,0.0000,0.9397,0.0000,25.0000,0.0000
240,0.5000,0.0000,0.8660,0.0000,25.0000,0.0000
320,0.6428,0.0000,0.7660,0.0000,25.0000,0.0000
400,0.7660,0.0000,0.6428,0.0000,25.0000,0.0000
480,0.8660,0.0000,0.5000,0.0000,25.0000,0.0000
560,0.9397,0.0000,0.3420,0.0000,25.0000,0.0000
640,0.9848,0.0000,0.1736,0.0000,25.0000,0.0000
720,1.0000,0.0000,0.0000,0.0000,25.0000,0.0000
800,0.9848,0.0000,-0.1736,0.0000,25.0000,0.0000
880,0.9397,0.0000,-0.3420,0.0000,25.0000,0.0000
960,0.8660,0.0000,-0.5000,0.0000,25.0000,0.0000
1040,0.7660,0.0000,-0.6428,0.0000,25.0000,0.0000
1120,0.6428,0.0000,-0.7660,0.0000,25.0000,0.0000
1200,0.5000,0.0000,-0.8660,0.0000,25.0000,0.0000
1280,0.3420,0.0000,-0.9397,0.0000,25.0000,0.0000
1360,0.1736,0.0000,-0.9848,0.0000,25.0000,0.0000
1440,0.0000,0.0000,-1.0000,0.0000,25.0000,0.0000
1520,-0.1736,0.0000,-0.9848,0.0000,25.0000,0.0000
1600,-0.3420,0.0000,-0.9397,0.0000,25.0000,0.0000
1680,-0.5000,0.0000,-0.8660,0.0000,25.0000,0.0000
1760,-0.6428,0.0000,-0.7660,0.0000,25.0000,0.0000
1840,-0.7660,0.0000,-0.6428,0.0000,25.0000,0.0000
1920,-0.8660,0.0000,-0.5000,0.0000,25.0000,0.0000
2000,-0.9397,0.0000,-0.3420,0.0000,25.0000,0.0000
2080,-0.9848,0.0000,-0.1736,0.0000,25.0000,0.0000
2160,-1.0000,0.0000,0.0000,0.0000,25.0000,0.0000
2240,-0.9848,0.0000,0.1736,0.0000,25.0000,0.0000
2320,-0.9397,0.0000,0.3420,0.0000,25.0000,0.0000
2400,-0.8660,0.0000,0.5000,0.0000,25.0000,0.0000
2480,-0.7660,0.0000,0.6428,0.0000,25.0000,0.0000
2560,-0.6428,0.0000,0.7660,0.0000,25.0000,0.0000
2640,-0.5000,0.0000,0.8660,0.0000,25.0000,0.0000
2720,-0.3420,0.0000,0.9397,0.0000,25.0000,0.0000
2800,-0.1736,0.0000,0.9848,0.0000,25.0000,0.0000
2880,0.0000,0.0000,1.0000,0.0000,25.0000,0.0000
2960,0.1736,0.0000,0.9848,0.0000,25.0000,0.0000
3040,0.3420,0.0000,0.9397,0.0000,25.0000,0.0000
3120,0.5000,0.0000,0.8660,0.0000,25.0000,0.0000
3200,0.6428,0.0000,0.7660,0.0000,25.0000,0.0000
3280,0.7660,0.0000,0.6428,0.0000,25.0000,0.0000
3360,0.8660,0.0000,0.5000,0.0000,25.0000,0.0000
3440,0.9397,0.0000,0.3420,0.0000,25.0000,0.0000
3520,0.9848,0.0000,0.1736,0.0000,25.0000,0.0000
3600,1.0000,0.0000,0.0000,0.0000,25.0000,0.0000
3680,0.9848,0.0000,-0.1736,0.0000,25.0000,0.0000
3760,0.9397,0.0000,-0.3420,0.0000,25.0000,0.0000
3840,0.8660,0.0000,-0.5000,0.0000,25.0000,0.0000
3920,0.7660,0.0000,-0.6428,0.0000,25.0000,0.0000 
